"Label (Grouping)","Total:!!Male:!!18 years and over:!!Native","Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Total:!!Female:!!18 years and over:!!Native","Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"    Estimate","23,131","527","20,699","637"
"Ketchikan Gateway Borough, Alaska","","","",""
"    Estimate","5,029","371","4,654","390"
"Kodiak Island Borough, Alaska","","","",""
"    Estimate","3,979","575","3,430","506"
"Kusilvak Census Area, Alaska","","","",""
"    Estimate","2,673","2","2,216","2"
"Lake and Peninsula Borough, Alaska","","","",""
"    Estimate","361","1","407","58"
"Matanuska-Susitna Borough, Alaska","","","",""
"    Estimate","39,638","798","35,615","1,405"
"Nome Census Area, Alaska","","","",""
"    Estimate","3,319","75","2,917","44"
"North Slope Borough, Alaska","","","",""
"    Estimate","4,079","154","2,238","121"
"Northwest Arctic Borough, Alaska","","","",""
"    Estimate","2,701","36","2,151","45"
"Petersburg Borough, Alaska","","","",""
"    Estimate","1,156","128","1,004","206"
"Prince of Wales-Hyder Census Area, Alaska","","","",""
"    Estimate","2,638","27","2,096","38"
"Sitka City and Borough, Alaska","","","",""
"    Estimate","3,080","255","2,917","188"
"Skagway Municipality, Alaska","","","",""
"    Estimate","515","57","492","25"
"Southeast Fairbanks Census Area, Alaska","","","",""
"    Estimate","2,664","83","1,995","159"
"Wrangell City and Borough, Alaska","","","",""
"    Estimate","1,013","26","901","2"
"Yakutat City and Borough, Alaska","","","",""
"    Estimate","238","25","165","4"
"Yukon-Koyukuk Census Area, Alaska","","","",""
"    Estimate","2,016","24","1,738","13"
"Apache County, Arizona","","","",""
"    Estimate","25,302","251","26,199","326"
"Cochise County, Arizona","","","",""
"    Estimate","45,380","2,976","41,091","4,976"
"Coconino County, Arizona","","","",""
"    Estimate","52,269","1,354","55,016","1,519"
"Gila County, Arizona","","","",""
"    Estimate","20,416","410","21,016","487"
"Graham County, Arizona","","","",""
"    Estimate","14,668","173","12,482","203"
"Greenlee County, Arizona","","","",""
"    Estimate","3,477","41","3,167","33"
"La Paz County, Arizona","","","",""
"    Estimate","7,933","354","7,618","366"
"Maricopa County, Arizona","","","",""
"    Estimate","1,348,140","124,007","1,397,590","146,775"
"Mohave County, Arizona","","","",""
"    Estimate","81,806","2,921","80,381","3,491"
"Navajo County, Arizona","","","",""
"    Estimate","38,964","711","39,374","693"
"Pima County, Arizona","","","",""
"    Estimate","345,402","26,697","352,951","36,949"
"Pinal County, Arizona","","","",""
"    Estimate","160,782","9,467","146,592","9,068"
"Santa Cruz County, Arizona","","","",""
"    Estimate","9,851","4,037","9,391","5,024"
"Yavapai County, Arizona","","","",""
"    Estimate","88,099","3,094","92,780","4,851"
"Yuma County, Arizona","","","",""
"    Estimate","56,808","11,618","47,500","14,609"
"Arkansas County, Arkansas","","","",""
"    Estimate","6,385","20","7,156","28"
"Ashley County, Arkansas","","","",""
"    Estimate","7,040","18","7,898","87"
"Baxter County, Arkansas","","","",""
"    Estimate","16,155","223","17,516","300"
"Benton County, Arkansas","","","",""
"    Estimate","82,573","5,626","88,625","4,688"
"Boone County, Arkansas","","","",""
"    Estimate","13,934","54","14,659","174"
"Bradley County, Arkansas","","","",""
"    Estimate","3,411","155","3,937","169"
"Calhoun County, Arkansas","","","",""
"    Estimate","2,042","54","2,057","27"
"Carroll County, Arkansas","","","",""
"    Estimate","9,542","196","10,299","261"
"Chicot County, Arkansas","","","",""
"    Estimate","3,897","12","3,914","103"
"Clark County, Arkansas","","","",""
"    Estimate","8,260","64","9,347","93"
"Clay County, Arkansas","","","",""
"    Estimate","5,576","31","5,873","15"
"Cleburne County, Arkansas","","","",""
"    Estimate","9,976","25","10,079","8"
"Cleveland County, Arkansas","","","",""
"    Estimate","3,000","0","3,218","18"
"Columbia County, Arkansas","","","",""
"    Estimate","8,565","71","9,757","64"
"Conway County, Arkansas","","","",""
"    Estimate","7,538","82","8,179","93"
"Craighead County, Arkansas","","","",""
"    Estimate","37,012","465","41,177","512"
"Crawford County, Arkansas","","","",""
"    Estimate","22,173","688","23,209","337"
"Crittenden County, Arkansas","","","",""
"    Estimate","15,814","153","18,601","110"
"Cross County, Arkansas","","","",""
"    Estimate","5,827","0","6,519","9"
"Dallas County, Arkansas","","","",""
"    Estimate","2,675","0","2,911","0"
"Desha County, Arkansas","","","",""
"    Estimate","3,744","57","4,433","34"
"Drew County, Arkansas","","","",""
"    Estimate","6,660","27","7,501","11"
"Faulkner County, Arkansas","","","",""
"    Estimate","44,097","476","47,683","636"
"Franklin County, Arkansas","","","",""
"    Estimate","6,636","31","6,954","30"
"Fulton County, Arkansas","","","",""
"    Estimate","4,638","93","4,952","36"
"Garland County, Arkansas","","","",""
"    Estimate","35,759","590","39,467","782"
"Grant County, Arkansas","","","",""
"    Estimate","6,794","1","7,098","67"
"Greene County, Arkansas","","","",""
"    Estimate","16,390","12","17,516","37"
"Hempstead County, Arkansas","","","",""
"    Estimate","7,087","98","7,789","212"
"Hot Spring County, Arkansas","","","",""
"    Estimate","13,601","15","12,606","66"
"Howard County, Arkansas","","","",""
"    Estimate","4,249","51","4,640","188"
"Independence County, Arkansas","","","",""
"    Estimate","13,541","154","13,971","214"
"Izard County, Arkansas","","","",""
"    Estimate","5,928","7","5,217","17"
"Jackson County, Arkansas","","","",""
"    Estimate","6,621","0","6,819","45"
"Jefferson County, Arkansas","","","",""
"    Estimate","25,541","147","26,546","455"
"Johnson County, Arkansas","","","",""
"    Estimate","8,731","409","9,007","334"
"Lafayette County, Arkansas","","","",""
"    Estimate","2,541","23","2,771","23"
"Lawrence County, Arkansas","","","",""
"    Estimate","6,249","12","6,514","33"
"Lee County, Arkansas","","","",""
"    Estimate","4,158","0","3,064","3"
"Lincoln County, Arkansas","","","",""
"    Estimate","7,108","13","3,690","32"
"Little River County, Arkansas","","","",""
"    Estimate","4,432","19","5,121","7"
"Logan County, Arkansas","","","",""
"    Estimate","8,112","92","8,506","93"
"Lonoke County, Arkansas","","","",""
"    Estimate","25,627","385","27,287","450"
"Madison County, Arkansas","","","",""
"    Estimate","6,202","133","5,960","77"
"Marion County, Arkansas","","","",""
"    Estimate","6,471","40","6,808","174"
"Miller County, Arkansas","","","",""
"    Estimate","15,668","187","16,753","124"
"Mississippi County, Arkansas","","","",""
"    Estimate","14,233","92","15,647","76"
"Monroe County, Arkansas","","","",""
"    Estimate","2,513","1","2,902","15"
"Montgomery County, Arkansas","","","",""
"    Estimate","3,477","18","3,593","22"
"Nevada County, Arkansas","","","",""
"    Estimate","3,088","0","3,293","0"
"Newton County, Arkansas","","","",""
"    Estimate","3,071","0","3,135","3"
"Ouachita County, Arkansas","","","",""
"    Estimate","8,358","54","9,713","41"
"Perry County, Arkansas","","","",""
"    Estimate","4,107","2","3,899","17"
"Phillips County, Arkansas","","","",""
"    Estimate","6,065","73","7,337","18"
"Pike County, Arkansas","","","",""
"    Estimate","3,949","59","4,070","17"
"Poinsett County, Arkansas","","","",""
"    Estimate","8,505","88","9,284","35"
"Polk County, Arkansas","","","",""
"    Estimate","7,028","105","7,610","120"
"Pope County, Arkansas","","","",""
"    Estimate","22,798","384","23,444","606"
"Prairie County, Arkansas","","","",""
"    Estimate","3,092","7","3,347","2"
"Pulaski County, Arkansas","","","",""
"    Estimate","130,716","3,619","151,169","4,222"
"Randolph County, Arkansas","","","",""
"    Estimate","6,498","91","6,636","234"
"St. Francis County, Arkansas","","","",""
"    Estimate","10,535","59","8,645","2"
"Saline County, Arkansas","","","",""
"    Estimate","43,101","704","46,138","765"
"Scott County, Arkansas","","","",""
"    Estimate","3,762","111","3,770","116"
"Searcy County, Arkansas","","","",""
"    Estimate","3,186","25","3,101","9"
"Sebastian County, Arkansas","","","",""
"    Estimate","41,597","2,304","44,941","2,680"
"Sevier County, Arkansas","","","",""
"    Estimate","4,803","215","4,764","307"
"Sharp County, Arkansas","","","",""
"    Estimate","6,588","25","6,966","16"
"Stone County, Arkansas","","","",""
"    Estimate","4,930","19","5,086","54"
"Union County, Arkansas","","","",""
"    Estimate","13,756","105","15,034","296"
"Van Buren County, Arkansas","","","",""
"    Estimate","6,399","17","6,735","35"
"Washington County, Arkansas","","","",""
"    Estimate","75,946","3,675","79,659","3,279"
"White County, Arkansas","","","",""
"    Estimate","27,790","299","30,467","317"
"Woodruff County, Arkansas","","","",""
"    Estimate","2,400","0","2,682","0"
"Yell County, Arkansas","","","",""
"    Estimate","7,090","299","7,226","182"
"Alameda County, California","","","",""
"    Estimate","392,582","135,585","407,257","155,498"
"Alpine County, California","","","",""
"    Estimate","437","19","402","29"
"Amador County, California","","","",""
"    Estimate","16,674","765","14,175","541"
"Butte County, California","","","",""
"    Estimate","79,900","3,726","82,366","4,887"
"Calaveras County, California","","","",""
"    Estimate","18,080","495","18,216","582"
"Colusa County, California","","","",""
"    Estimate","5,018","1,294","5,015","1,331"
"Contra Costa County, California","","","",""
"    Estimate","301,491","70,908","315,991","85,584"
"Del Norte County, California","","","",""
"    Estimate","10,499","415","9,171","426"
"El Dorado County, California","","","",""
"    Estimate","67,723","4,688","67,614","5,537"
"Fresno County, California","","","",""
"    Estimate","253,857","39,854","264,068","45,835"
"Glenn County, California","","","",""
"    Estimate","7,828","970","7,953","712"
"Humboldt County, California","","","",""
"    Estimate","51,213","1,585","52,155","1,975"
"Imperial County, California","","","",""
"    Estimate","42,034","12,358","34,698","14,316"
"Inyo County, California","","","",""
"    Estimate","6,385","331","6,543","322"
"Kern County, California","","","",""
"    Estimate","239,511","31,503","225,561","33,203"
"Kings County, California","","","",""
"    Estimate","47,255","5,398","35,017","5,551"
"Lake County, California","","","",""
"    Estimate","22,397","1,107","23,241","1,337"
"Lassen County, California","","","",""
"    Estimate","16,315","294","7,740","127"
"Los Angeles County, California","","","",""
"    Estimate","2,283,007","802,154","2,307,545","974,946"
"Madera County, California","","","",""
"    Estimate","37,661","5,216","44,774","5,699"
"Marin County, California","","","",""
"    Estimate","78,922","10,064","84,029","12,422"
"Mariposa County, California","","","",""
"    Estimate","6,913","283","6,639","230"
"Mendocino County, California","","","",""
"    Estimate","28,385","1,994","30,126","1,888"
"Merced County, California","","","",""
"    Estimate","61,280","13,998","61,900","14,982"
"Modoc County, California","","","",""
"    Estimate","3,321","188","3,168","124"
"Mono County, California","","","",""
"    Estimate","5,205","367","4,197","416"
"Monterey County, California","","","",""
"    Estimate","102,778","16,131","97,505","20,364"
"Napa County, California","","","",""
"    Estimate","39,809","7,038","41,764","7,603"
"Nevada County, California","","","",""
"    Estimate","37,830","1,276","39,000","1,578"
"Orange County, California","","","",""
"    Estimate","778,821","240,085","792,430","283,158"
"Placer County, California","","","",""
"    Estimate","127,863","12,846","134,502","15,664"
"Plumas County, California","","","",""
"    Estimate","7,462","251","7,500","238"
"Riverside County, California","","","",""
"    Estimate","659,208","128,193","660,146","142,504"
"Sacramento County, California","","","",""
"    Estimate","423,385","83,288","450,599","97,823"
"San Benito County, California","","","",""
"    Estimate","17,411","2,448","17,007","2,814"
"San Bernardino County, California","","","",""
"    Estimate","576,172","105,611","583,931","118,362"
"San Diego County, California","","","",""
"    Estimate","971,742","187,098","905,845","231,820"
"San Francisco County, California","","","",""
"    Estimate","246,173","84,056","219,652","102,787"
"San Joaquin County, California","","","",""
"    Estimate","187,956","41,063","194,176","44,515"
"San Luis Obispo County, California","","","",""
"    Estimate","104,512","6,697","102,156","6,941"
"San Mateo County, California","","","",""
"    Estimate","176,502","68,830","174,757","85,494"
"Santa Barbara County, California","","","",""
"    Estimate","123,790","16,488","124,508","19,141"
"Santa Clara County, California","","","",""
"    Estimate","399,034","186,131","375,464","212,172"
"Santa Cruz County, California","","","",""
"    Estimate","85,491","9,457","88,963","10,385"
"Shasta County, California","","","",""
"    Estimate","63,984","2,440","67,116","2,481"
"Sierra County, California","","","",""
"    Estimate","1,198","3","1,200","33"
"Siskiyou County, California","","","",""
"    Estimate","16,052","600","16,222","1,002"
"Solano County, California","","","",""
"    Estimate","131,988","22,902","129,307","28,914"
"Sonoma County, California","","","",""
"    Estimate","153,445","17,103","166,943","19,545"
"Stanislaus County, California","","","",""
"    Estimate","142,127","24,681","150,229","26,743"
"Sutter County, California","","","",""
"    Estimate","24,907","5,482","26,341","5,383"
"Tehama County, California","","","",""
"    Estimate","21,160","1,588","22,138","1,565"
"Trinity County, California","","","",""
"    Estimate","5,077","111","4,925","147"
"Tulare County, California","","","",""
"    Estimate","109,679","16,348","117,251","17,814"
"Tuolumne County, California","","","",""
"    Estimate","22,549","590","20,075","1,191"
"Ventura County, California","","","",""
"    Estimate","235,679","41,326","242,060","50,851"
"Yolo County, California","","","",""
"    Estimate","60,023","10,651","66,085","11,569"
"Yuba County, California","","","",""
"    Estimate","23,886","2,501","23,155","2,839"
"Adams County, Colorado","","","",""
"    Estimate","151,810","12,788","152,436","13,667"
"Alamosa County, Colorado","","","",""
"    Estimate","5,311","283","5,709","194"
"Arapahoe County, Colorado","","","",""
"    Estimate","199,653","20,065","205,984","24,175"
"Archuleta County, Colorado","","","",""
"    Estimate","5,317","82","5,348","238"
"Baca County, Colorado","","","",""
"    Estimate","1,308","18","1,379","16"
"Bent County, Colorado","","","",""
"    Estimate","2,921","76","1,673","11"
"Boulder County, Colorado","","","",""
"    Estimate","116,748","6,559","115,326","7,855"
"Broomfield County, Colorado","","","",""
"    Estimate","23,310","1,806","23,767","2,145"
"Chaffee County, Colorado","","","",""
"    Estimate","8,553","78","7,732","233"
"Cheyenne County, Colorado","","","",""
"    Estimate","643","44","662","6"
"Clear Creek County, Colorado","","","",""
"    Estimate","3,978","42","3,820","48"
"Conejos County, Colorado","","","",""
"    Estimate","2,980","38","2,890","34"
"Costilla County, Colorado","","","",""
"    Estimate","1,524","27","1,406","61"
"Crowley County, Colorado","","","",""
"    Estimate","3,390","6","1,307","74"
"Custer County, Colorado","","","",""
"    Estimate","1,889","29","2,210","40"
"Delta County, Colorado","","","",""
"    Estimate","11,755","209","11,628","479"
"Denver County, Colorado","","","",""
"    Estimate","241,291","19,766","240,935","22,305"
"Dolores County, Colorado","","","",""
"    Estimate","824","0","769","6"
"Douglas County, Colorado","","","",""
"    Estimate","114,948","6,007","116,341","7,230"
"Eagle County, Colorado","","","",""
"    Estimate","19,320","1,266","15,766","1,525"
"Elbert County, Colorado","","","",""
"    Estimate","10,195","78","9,851","206"
"El Paso County, Colorado","","","",""
"    Estimate","251,288","11,191","241,697","15,689"
"Fremont County, Colorado","","","",""
"    Estimate","23,079","222","15,953","233"
"Garfield County, Colorado","","","",""
"    Estimate","18,809","848","17,805","1,259"
"Gilpin County, Colorado","","","",""
"    Estimate","2,584","89","2,282","20"
"Grand County, Colorado","","","",""
"    Estimate","6,573","122","5,673","131"
"Gunnison County, Colorado","","","",""
"    Estimate","7,378","108","6,129","248"
"Hinsdale County, Colorado","","","",""
"    Estimate","284","3","377","0"
"Huerfano County, Colorado","","","",""
"    Estimate","2,836","44","2,725","40"
"Jackson County, Colorado","","","",""
"    Estimate","572","19","509","15"
"Jefferson County, Colorado","","","",""
"    Estimate","214,184","8,515","216,335","10,081"
"Kiowa County, Colorado","","","",""
"    Estimate","467","0","580","3"
"Kit Carson County, Colorado","","","",""
"    Estimate","2,417","65","2,488","141"
"Lake County, Colorado","","","",""
"    Estimate","3,227","41","2,647","76"
"La Plata County, Colorado","","","",""
"    Estimate","22,414","187","22,025","466"
"Larimer County, Colorado","","","",""
"    Estimate","130,799","3,668","132,772","5,154"
"Las Animas County, Colorado","","","",""
"    Estimate","5,847","39","5,411","67"
"Lincoln County, Colorado","","","",""
"    Estimate","2,767","9","1,533","11"
"Logan County, Colorado","","","",""
"    Estimate","9,896","85","7,488","149"
"Mesa County, Colorado","","","",""
"    Estimate","56,249","1,089","57,883","1,578"
"Mineral County, Colorado","","","",""
"    Estimate","342","2","340","40"
"Moffat County, Colorado","","","",""
"    Estimate","4,439","182","4,402","218"
"Montezuma County, Colorado","","","",""
"    Estimate","9,590","135","10,185","144"
"Montrose County, Colorado","","","",""
"    Estimate","14,651","923","15,660","664"
"Morgan County, Colorado","","","",""
"    Estimate","8,961","508","8,670","711"
"Otero County, Colorado","","","",""
"    Estimate","6,264","206","6,876","172"
"Ouray County, Colorado","","","",""
"    Estimate","1,959","14","2,124","30"
"Park County, Colorado","","","",""
"    Estimate","8,100","57","7,188","80"
"Phillips County, Colorado","","","",""
"    Estimate","1,300","238","1,110","50"
"Pitkin County, Colorado","","","",""
"    Estimate","7,015","541","6,116","384"
"Prowers County, Colorado","","","",""
"    Estimate","3,893","176","3,939","293"
"Pueblo County, Colorado","","","",""
"    Estimate","60,605","953","64,221","1,307"
"Rio Blanco County, Colorado","","","",""
"    Estimate","2,420","4","2,258","61"
"Rio Grande County, Colorado","","","",""
"    Estimate","3,972","54","4,152","1"
"Routt County, Colorado","","","",""
"    Estimate","10,451","260","9,088","520"
"Saguache County, Colorado","","","",""
"    Estimate","2,448","102","2,355","130"
"San Juan County, Colorado","","","",""
"    Estimate","242","15","238","5"
"San Miguel County, Colorado","","","",""
"    Estimate","3,238","89","2,728","198"
"Sedgwick County, Colorado","","","",""
"    Estimate","824","8","789","12"
"Summit County, Colorado","","","",""
"    Estimate","12,863","65","10,677","244"
"Teller County, Colorado","","","",""
"    Estimate","10,156","162","9,998","125"
"Washington County, Colorado","","","",""
"    Estimate","1,945","0","1,745","25"
"Weld County, Colorado","","","",""
"    Estimate","103,814","4,714","103,359","4,832"
"Yuma County, Colorado","","","",""
"    Estimate","3,186","61","3,194","62"
"Fairfield County, Connecticut","","","",""
"    Estimate","256,952","45,208","280,432","54,929"
"Hartford County, Connecticut","","","",""
"    Estimate","276,799","35,234","299,155","42,195"
"Litchfield County, Connecticut","","","",""
"    Estimate","66,398","3,594","68,763","4,092"
"Middlesex County, Connecticut","","","",""
"    Estimate","58,995","3,258","62,747","4,305"
"New Haven County, Connecticut","","","",""
"    Estimate","274,599","25,663","303,828","32,130"
"New London County, Connecticut","","","",""
"    Estimate","97,984","5,201","95,267","7,636"
"Tolland County, Connecticut","","","",""
"    Estimate","56,887","2,630","57,281","2,931"
"Windham County, Connecticut","","","",""
"    Estimate","43,220","1,123","45,073","1,306"
"Kent County, Delaware","","","",""
"    Estimate","60,517","2,855","67,071","3,156"
"New Castle County, Delaware","","","",""
"    Estimate","180,680","14,599","197,868","17,179"
"Sussex County, Delaware","","","",""
"    Estimate","81,844","3,079","90,618","3,693"
"District of Columbia, District of Columbia","","","",""
"    Estimate","227,338","18,040","258,966","23,681"
"Alachua County, Florida","","","",""
"    Estimate","91,894","6,472","100,425","7,942"
"Baker County, Florida","","","",""
"    Estimate","11,554","74","10,027","113"
"Bay County, Florida","","","",""
"    Estimate","65,385","2,200","65,571","3,640"
"Bradford County, Florida","","","",""
"    Estimate","12,147","140","9,529","202"
"Brevard County, Florida","","","",""
"    Estimate","213,940","13,616","222,080","19,857"
"Broward County, Florida","","","",""
"    Estimate","446,181","178,181","453,729","221,278"
"Calhoun County, Florida","","","",""
"    Estimate","6,128","106","4,950","29"
"Charlotte County, Florida","","","",""
"    Estimate","70,944","5,177","74,531","6,622"
"Citrus County, Florida","","","",""
"    Estimate","56,871","2,536","60,910","3,138"
"Clay County, Florida","","","",""
"    Estimate","74,648","3,498","77,207","5,210"
"Collier County, Florida","","","",""
"    Estimate","108,329","20,423","115,066","23,827"
"Columbia County, Florida","","","",""
"    Estimate","27,651","750","25,466","575"
"DeSoto County, Florida","","","",""
"    Estimate","13,570","997","11,233","605"
"Dixie County, Florida","","","",""
"    Estimate","7,607","87","5,644","82"
"Duval County, Florida","","","",""
"    Estimate","304,722","26,116","330,245","32,720"
"Escambia County, Florida","","","",""
"    Estimate","115,839","3,862","119,252","5,020"
"Flagler County, Florida","","","",""
"    Estimate","38,975","4,025","41,559","5,543"
"Franklin County, Florida","","","",""
"    Estimate","5,448","133","4,165","57"
"Gadsden County, Florida","","","",""
"    Estimate","15,569","367","18,210","311"
"Gilchrist County, Florida","","","",""
"    Estimate","7,043","44","6,538","205"
"Glades County, Florida","","","",""
"    Estimate","6,002","478","4,301","190"
"Gulf County, Florida","","","",""
"    Estimate","7,096","129","5,133","117"
"Hamilton County, Florida","","","",""
"    Estimate","6,605","140","4,381","167"
"Hardee County, Florida","","","",""
"    Estimate","9,093","664","8,191","604"
"Hendry County, Florida","","","",""
"    Estimate","10,150","2,134","10,027","1,913"
"Hernando County, Florida","","","",""
"    Estimate","68,007","4,472","74,125","5,179"
"Highlands County, Florida","","","",""
"    Estimate","35,737","2,993","39,694","2,637"
"Hillsborough County, Florida","","","",""
"    Estimate","424,157","60,321","459,609","71,395"
"Holmes County, Florida","","","",""
"    Estimate","8,232","78","7,036","68"
"Indian River County, Florida","","","",""
"    Estimate","55,325","3,365","61,104","5,036"
"Jackson County, Florida","","","",""
"    Estimate","20,558","210","16,859","289"
"Jefferson County, Florida","","","",""
"    Estimate","6,055","40","5,440","87"
"Lafayette County, Florida","","","",""
"    Estimate","3,961","171","2,348","68"
"Lake County, Florida","","","",""
"    Estimate","122,325","8,722","132,453","11,130"
"Lee County, Florida","","","",""
"    Estimate","244,109","28,388","260,533","33,204"
"Leon County, Florida","","","",""
"    Estimate","101,645","4,751","117,418","5,461"
"Levy County, Florida","","","",""
"    Estimate","15,268","304","16,204","444"
"Liberty County, Florida","","","",""
"    Estimate","4,048","43","2,531","75"
